Mach Number,Drag Coefficient
0,0
0.009231076,0.333494538
0.018484466,0.311558746
0.027760116,0.299057827
0.037057986,0.290620863
0.046378042,0.284383004
0.055720254,0.279503361
0.065084592,0.275536971
0.074471026,0.272222103
0.083879529,0.269392783
0.093310073,0.266937671
0.102762632,0.264778736
0.112237176,0.262859346
0.121733679,0.261137204
0.131252114,0.259579954
0.140792451,0.258162341
0.150354664,0.256864303
0.159938723,0.255669666
0.169544599,0.254565213
0.179172264,0.253540018
0.188821688,0.252584956
0.198492841,0.251692332
0.208185693,0.250855606
0.217900213,0.250069173
0.227636369,0.249328199
0.237394131,0.248628488
0.247173466,0.247966376
0.256974342,0.247338647
0.266796728,0.246742464
0.276640588,0.246175313
0.286505891,0.245634957
0.296392603,0.245119396
0.30630069,0.244626838
0.316230117,0.24415567
0.32618085,0.243704435
0.336152854,0.243271815
0.346146094,0.242856611
0.356160535,0.242457734
0.366196142,0.242074187
0.376252878,0.241705059
0.386330708,0.241349514
0.396429595,0.241006784
0.406549505,0.24067616
0.4166904,0.24035699
0.426852244,0.240048669
0.437035002,0.239750637
0.447238636,0.239462376
0.45746311,0.239183401
0.467708389,0.238913263
0.477974436,0.238651544
0.488261214,0.260259916
0.498547392,0.2610685
0.50885226,0.261922015
0.519175633,0.262821527
0.529517317,0.2637682
0.539877109,0.264763303
0.550254796,0.265808215
0.560650153,0.266904427
0.571062944,0.268053552
0.581492921,0.269257331
0.591939825,0.270517643
0.60240338,0.271836507
0.612883298,0.273216101
0.623379275,0.274658767
0.63389099,0.276167027
0.644418107,0.277743594
0.654960268,0.279391388
0.665517098,0.281113556
0.676088199,0.282913487
0.686673152,0.284794836
0.697271513,0.286761548
0.707882812,0.288817884
0.71850655,0.29096845
0.7291422,0.293218235
0.739789201,0.295572644
0.750446958,0.298037545
0.761114838,0.300619314
0.771792166,0.303324896
0.782478225,0.306161862
0.793172247,0.309138483
0.803873415,0.312263814
0.814580851,0.315547785
0.825293618,0.319001311
0.836010708,0.322636418
0.846731039,0.326466387
0.857453446,0.330505923
0.868176672,0.334771355
0.878899359,0.339280864
0.889620038,0.344054763
0.900337113,0.349115812
0.911048848,0.354489616
0.921753353,0.360205077
0.932448559,0.36629496
0.943132197,0.372796563
0.953801773,0.379752547
0.964454535,0.38644829
0.975090336,0.386316461
0.985734579,0.38618736
0.996387195,0.386060923
1.007048118,0.385937088
1.017717286,0.385815793
1.028394639,0.385696981
1.039080123,0.385580596
1.049773687,0.385466582
1.060475282,0.385354887
1.071184866,0.38524546
1.081902398,0.385138251
1.092627843,0.385033212
1.103361169,0.384930298
1.114102349,0.384829461
1.124851358,0.38473066
1.135608179,0.384633852
1.146372796,0.384538995
1.157145197,0.38444605
1.167925378,0.384354979
1.178713334,0.384265743
1.18950907,0.384178306
1.200312592,0.384092633
1.211123911,0.38400869
1.221943043,0.383926443
1.232770009,0.38384586
1.243604834,0.383766909
1.254447547,0.38368956
1.265298184,0.383613784
1.276156783,0.383539551
1.28702339,0.383466833
1.297898051,0.383395603
1.308780823,0.501836213
1.318869804,0.479643818
1.329110834,0.459709463
1.339491765,0.441685086
1.350002418,0.425291353
1.360634193,0.410301555
1.371379762,0.396529783
1.382232845,0.383822138
1.393188019,0.37205011
1.404240583,0.361105523
1.415386434,0.350896648
1.426621983,0.692011174
1.435175607,0.671008383
1.443891084,0.651012732
1.45276271,0.631968189
1.461785138,0.613821005
1.470953358,0.596519906
1.480262685,0.580016194
1.489708736,0.564263787
1.499287415,0.549219202
1.508994896,0.534841499
1.518827607,0.521092203
1.528782211,0.507935211
1.538855597,0.495336675
1.549044857,0.483264893
1.559347282,0.471690186
1.56976034,0.460584782
1.580281674,0.449922694
1.59090908,0.439679616
1.601640507,0.429832803
1.61247404,0.420360975
1.623407894,0.411244216
1.634440405,0.402463877
1.645570024,0.394002495
1.656795306,0.385843709
1.668114907,0.37797218
1.679527576,0.370373524
1.691032151,0.363034245
1.702627548,0.355941671
1.714312766,0.3490839
1.726086872,0.342449744
1.737949003,0.336028681
1.749898362,0.32981081
1.76193421,0.323786808
1.774055866,0.317947893
1.786262704,0.312285782
1.798554148,0.306792664
1.810929671,0.301461165
1.823388791,0.296284321
1.83593107,0.291255549
1.848556109,0.286368626
1.86126355,0.281617662
1.874053072,0.27699708
1.886924386,0.272501599
1.899877241,0.268126211
1.912911415,0.263866167
1.926026715,0.259716959
1.939222979,0.255674308
1.952500072,0.251734149
1.965857885,0.247892616
1.979296335,0.244146033
1.99281536,0.240490903
2.006414925,0.236923895
2.020095014,0.233441835
2.033855634,0.230041701
2.047696811,0.226720609
2.061618591,0.223475806
2.075621038,0.220304669
2.089704236,0.217204688
2.103868283,0.214173468
2.118113296,0.211208719
2.132439408,0.20830825
2.146846767,0.205469967
2.161335535,0.202691863
2.17590589,0.199972018
2.190558024,0.197308591
2.205292141,0.194699821
2.220108459,0.192144015
2.235007209,0.189639552
2.249988634,0.187184876
2.265052989,0.184778493
2.28020054,0.182418968
2.295431566,0.180104923
2.310746354,0.177835034
2.326145205,0.175608027
2.341628427,0.173422677
2.357196342,0.171277806
2.372849278,0.16917228
2.388587576,0.167105006
2.404411583,0.165074934
2.420321659,0.16308105
2.436318169,0.161122377
2.45240149,0.159197974
2.468572006,0.157306934
2.484830109,0.15544838
2.501176202,0.153621467
2.517610692,0.15182538
2.534133997,0.15005933
2.550746541,0.148322557
2.567448758,0.146614327
2.584241086,0.144933927
2.601123974,0.143280672
2.618097876,0.141653899
2.635163254,0.140052963
2.652320576,0.138477244
2.669570319,0.136926142
2.686912965,0.135399072
2.704349002,0.133895473
2.721878928,0.132414797
2.739503245,0.130956517
2.757222461,0.12952012
2.775037092,0.128105108
2.792947661,0.126711002
2.810954694,0.125337332
2.829058726,0.123983648
2.847260298,0.12264951
2.865559956,0.12133449
2.883958251,0.120038176
2.902455743,0.118760166
2.921052996,0.117500069
2.939750579,0.116257508
2.958549069,0.115032113
2.977449047,0.113823528
2.996451101,0.112631405
3.015555823,0.111455406
3.034763812,0.110295202
3.054075672,0.109150475
3.073492013,0.108020914
3.09301345,0.106906217
3.112640604,0.105856103
3.132374526,0.104964766
3.15221703,0.104084433
3.172168657,0.103214919
3.192229953,0.10235604
3.212401465,0.101507621
3.232683747,0.100669487
3.253077357,0.099841469
3.273582857,0.099023402
3.294200813,0.098215123
3.314931796,0.097416474
3.335776383,0.096627301
3.356735151,0.095847451
3.377808687,0.095076778
3.398997578,0.094315136
3.420302419,0.093562384
3.441723807,0.092818383
3.463262346,0.092082997
3.484918643,0.091356094
3.506693311,0.090637545
3.528586968,0.089927221
3.550600234,0.089224999
3.572733738,0.088530757
3.594988112,0.087844375
3.617363993,0.087165737
3.639862024,0.086494729
3.662482852,0.085831238
3.685227131,0.085175154
3.708095518,0.084526371
3.731088678,0.083884783
3.754207281,0.083250286
3.777452,0.08262278
3.800823518,0.082002165
3.824322519,0.081388345
3.847949697,0.080781224
3.871705751,0.080180709
3.895591383,0.079586708
3.919607305,0.078999131
3.943754234,0.078417891
3.968032893,0.077842901
3.992444011,0.077274077
4.016988325,0.076711335
4.041666578,0.076154594
4.066479519,0.075603775
4.091427905,0.075058798
4.116512499,0.074519587
4.141734074,0.073986067
4.167093406,0.073458163
4.192591282,0.072935802
4.218228496,0.072418913
4.244005847,0.071907427
4.269924145,0.071401273
4.295984207,0.070900386
4.322186858,0.070404698
4.348532931,0.069914144
4.375023269,0.06942866
4.401658722,0.068948184
4.42844015,0.068472654
4.45536842,0.068002009
4.48244441,0.067536189
4.509669008,0.067075137
4.53704311,0.066618795
4.564567621,0.066167106
4.592243459,0.065720014
4.620071548,0.065277466
4.648052827,0.064839408
4.676188241,0.064405787
4.704478749,0.063976551
4.732925318,0.063551649
4.76152893,0.063131032
4.790290575,0.06271465
4.819211255,0.062302455
4.848291986,0.061894399
4.877533795,0.061490436
4.906937719,0.06109052
4.936504812,0.060694605
4.966236137,0.060302648
4.996132772,0.059914604
5.026195808,0.05953043
5.05642635,0.059150084
5.086825515,0.058773525
5.117394437,0.058400712
5.148134262,0.058047821
5.179046311,0.057707296
5.210131825,0.057370183
5.241391973,0.057036449
5.27282794,0.056706059
5.304440925,0.056378979
5.336232147,0.056055175
5.368202841,0.055734615
5.400354258,0.055417267
5.43268767,0.055103099
5.465204364,0.054792079
5.497905648,0.054484176
5.530792848,0.05417936
5.563867309,0.053877601
